Rk,Player,From,To,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV,Pfr_ID
279,Ryan Kerrigan,2011,2013,1-16,WAS,NFL,48,48,3,1,0,23,KerrRy00
280,Matt Light,2001,2003,2-48,NWE,NFL,46,44,3,0,0,23,LighMa20
281,Curtis Lofton,2008,2010,2-37,ATL,NFL,48,47,3,0,0,23,LoftCu99
282,Jeremy Maclin,2009,2011,1-19,PHI,NFL,44,42,3,0,0,23,MaclJe00
283,Vince Manuwai,2003,2005,3-72,JAX,NFL,47,46,3,0,0,23,ManuVi20
284,Devin McCourty,2010,2012,1-27,NWE,NFL,46,46,3,1,0,23,McCoDe99
285,Kirk Morrison,2005,2007,3-78,RAI,NFL,48,47,3,0,0,23,MorrKi20
286,Terence Newman,2003,2005,1-5,DAL,NFL,48,48,3,0,0,23,NewmTe20
287,Michael Oher,2009,2011,1-23,RAV,NFL,48,48,3,0,0,23,OherMi20
288,Mike Patterson,2005,2007,1-31,PHI,NFL,48,38,3,0,0,23,PattMi20
289,Kendall Simmons,2002,2005,1-30,PIT,NFL,46,46,3,0,0,23,SimmKe20
290,Aldon Smith,2011,2013,1-7,SFO,NFL,43,24,3,1,1,23,SmitAl04
291,C.J. Spiller,2010,2012,1-9,BUF,NFL,46,21,3,1,0,23,SpilC.00
292,Eric Steinbach,2003,2005,2-33,CIN,NFL,47,46,3,0,0,23,SteiEr20
